tipus,szerzo,cim,vers,link
poz,Trebó Róbert,De ki fog születni?,"A Világ vajúdik. De ki fog születni? S megyünk-e az Újig? És mit fog üzenni? A Világ vesztegel. És vajon visszük-e Az Istent ezennel Végre a szívünkbe? A Világ vajúdik. Hiszünk-e magunkban? Mert ezen az múlik, Élünk-e vadultan. A Világ újonnan Üzeni, mit régen: ""Itt él az Úr Szóban, Bennünk, az Igében."" A Világ vajúdik, Nem akar most sem mást, Mint egykor: az Útig Eljutni, hogy meglásd. A Világ világra Hoz egy új régi Szót: ""Szeretet"" - diktálja Szüntelen, Égimód.",https://poet.hu/vers/393811
poz,Péteriné J. Erzsébet,Anna napon kinyíltak a rózsák,"Anna napon kinyíltak a rózsák, szépek; színes, bólogató jóság, köszöntik a fényes napvilágot, szívük adják, s illatos virágot. Ünneplőbe öltözött a kertünk, felkelt a nap, felvidult a kedvünk, köszöntünk most téged, drága Anna, legyen tiéd ez a szép hozsanna. Emlékezünk elmúlt, rég’ Annákra, emlék kísér halhatatlanságba, múló élet, örök, édes álom vár reánk is, a Jóisten áldjon. Anna napon kinyílnak a rózsák, bennük az ég küldi édes csókját, virágos lesz szívünk, lelkünk nyáron, madár dalol szép dalt rózsaágon.",https://poet.hu/vers/393752
poz,Sweven,Anyának,"Drága édesanyám, Te vagy az én szülőhazám, Forró ölelésed otthont nyújt, Ha veled vagyok, vállamon nem érzek súlyt. Mikor két szemedbe nézek, Felülmúlhatatlan boldogságot érzek. Ha valami őrültséget csinálok, Te vagy, ki azt mondja, nem ő hibázott. Selymes kezed, mely hajam simogatta, Majd később a szívemet tisztogatta, Oh, legyen ez a kezed áldott! Érintése forgassa meg a világot! Tudod, nekem mindig te leszel a legjobb, Mert egy valami kell, a támogatásod. Persze kell az is, hogy szeressél, S mindig csak velünk nevessél! Mikor elestünk, felsegítettél. Mikor elmentünk, integettél. Ha sírtunk, te nem sírtál, Mindig nagyon erős voltál. Most mi jövünk, Boldogságot életedbe mi szövünk, Ígérem, nem leszel szomorú, Lelkedben nem lesz több háború. A versem most itt le is zárom, Szívemet feléd kitárom. Nincs több versszak, nincs több szó, Könyörgöm, lelkedet sose födje hó.",https://poet.hu/vers/393681
poz,Szickey_Me,félreeső pékség,roppanós meleg lencipógömb minden nap ha szerethetlek,https://poet.hu/vers/393668
poz,Nagy Emőke,Megőrzöm kincseim,"Lelkem szomorúan ballag az idővel, bár ugyanúgy van tegnap, ma, holnap, de egyre tátong az űr, szíven üt, szúr, nincsen soha többet ""anyai ne nyafogj"". Telefon kérte és telefon adta, szóbalzsam volt, lelki sebkezelés, elveszett vele lassan háromnegyed éve, kelepcébe estem, nincs menekülés. Itthon hasogat a hiány, otthon üvölt, ha tudom, mennem kell, beleremegek, a halhatatlan szavak sem segítenek. Akkor sem tettem, és ""nem nyafognék most már késő"", volt, ami csak a miénk volt, ""anyai ne nyafogj"". Megőrzöm kincseim, meg kell őriznem, hogy továbbadhassam szavakban a szeretetet, könnyes szemmel nézek az Égre, ennyi maradjon nekem.",https://poet.hu/vers/393624
poz,Nokta Gabi,Szaladok,"Apró léptek koppanak, Gyermek szalad, pihegve, Talpacskái horpadtak, De nem rendül figyelme. Egyre fut egy árny után, Majd karjaiban megpihen, Szalad hát, de oly sután, Alig marad a felszínen. Gyermekléptek nagyra nőttek, De meg nem állva, vért lihegve Nekivágnak ágnak, kőnek, Egyre nézve, árnyat követve. Embergyermek vágyva vágyja Azon viszontölelő kezeket, Egyre lohol, s meg se látja, Hogy nem árny volt az, nem is ember... ...hanem a szeretet.",https://poet.hu/vers/393563
poz,Romity Annamari,Szikrázó csend,"Te vagy a fény, a csend. Lelked ragyog, érzem a belső tüzet. Benned bízom igazán - a bizalom kölcsönös. Tőled jólesik egy ölelés, olyan, amit nem felejt a testem. Várom, hogy együtt legyünk, várom, hogy megtalálj, elmerülj velem. Tekinteted oly tiszta, mint eső után a természet. Bár nem egyensúlyos a kapocsunk, Veled otthon érzem magam. Fülbemászó suttogás, meleg közelség. Érződő szívverés, mely igazán nyugtató. Néha megpihen ez a kapcsolat, aztán újra szikrázik köztünk a levegő. Tudod, amikor Rád várakozom, időtlenül telik az idő. Téged szavak nélkül, némán is megértelek. Előttem nincs már titkod - belém égett a jelenléted. Eddig csak félig éltem.",https://poet.hu/vers/393551
poz,Anzsy,Virágot festenék...,"Virágot festenék a mára, erre a furcsa, csúf világra. Virágot festenék magamra, és a Nap kisütne szavamra. Színes virágot festenék rátok, mitől lassan majd lehull az átok. S mindenki virágát csokorba fognánk... Talán egy kicsit boldogabbak volnánk.",https://poet.hu/vers/393511
poz,T. Fiser Ildikó,A legdrágább asszonynak,"Dolgoztál keményen, becsülettel, óvtál és felneveltél minket sok türelemmel, szeretettel. Fogadtad boldogan, olykor fájón az életet, nevettünk, sírtunk is veled. Hangos szó ajkadról ritkán röppent felénk, jellemed halk szavú, kedves, tiszta, szerény. Haragod elszáll, akár a pillanat, gondoskodó szeretet foglalja el helyét. Nagyszerű anya, feleség, ez mind te vagy, s mi szívünk legmélyéről tiszteljük ezt a tényt. Dolgoztál keményen, becsülettel, óvtál és felneveltél minket sok türelemmel, szeretettel. Fogadtad boldogan, olykor fájón az életet, nevettünk, sírtunk is veled.",https://poet.hu/vers/393470
poz,Tóth Tamás S,Kicsit más,"Lágy, reggeli fényben fürdik a táj, egy szív suttog: ""nekem ő kicsit más."" Belső békéje rám ragyog már szeretet-szőtte szavainál. Szeme, mosolya nem kér, csak ölel, egy tekintetben ezer ünnep felel. Hallgatása is hűséget mesél, mint tiszta csend, ha zúgni mer az ég. Újra hinni tanít, nem kérdezi: miért? Nem játszik, nem vádol, csak szelíden ígér. Szívében oltalom, szavában hit él, két karja nyugalom, ha mindenki ítél. A bizalom köztünk csendes hídra kelt, nem roppan meg, ha jön sötét vagy telt. Egymásnak lenni: nem kérdés, hanem jel, mi belül gyúl, s kívül világot lel. Kicsit más ő, s tán én is más vagyok, de együtt nem félünk, ha jön a zajos sok. A világ hadd beszéljen, mi hallgatunk, két szív egy hangon - s csendben maradunk.",https://poet.hu/vers/393455
poz,Nessalina,Két lélek árnyéka,"Egy szobában két világ ébred, Mosoly mögött rejtett fények. Te voltál tűz, én voltam csend, S azt hittem, benned otthonra lelek. Nevettünk halkan hajnal előtt, Szívem akkor még nem szökött. Kék szemedbe zártam magam, S úgy hittem, több leszek, ha marad. Kísértettél minden hangban, Egy gyertya fénye ablakomban. Suttogva hívtál néha vissza, Majd eltűntél Virág karjaiba. Szavaid nyomán vérzett a csend, A válaszod mindig késve ment. Titokban néztél, de félve tőlem, Miért játszottál újra a tűzzel? Aztán jött a szombat este, Bor és vallomás keveredve. Szeretlek, mondtam, még ha fáj, De a szemedben rég nem volt már nyár. Most némán ülünk, két sziget, A szívem mégis benned remeg. Hazugság, hallgatás, sok seb, Te választottad, nem lehetek. Ha kérdeznéd, sajnálom-e még, Csak annyit mondanék: ""Elég."" Mert amit adtam, szívből jött, De te csak játszottál, míg megtört.",https://poet.hu/vers/393427
poz,Masonte,Ez az utolsó,"""Ez az utolsó"", minden búcsúban benne volt a vágy, hogy talán most megmondom végre, de csak néztelek - némán, félve - mint hold a sötét égen, s azt mondtam: ""Ez az utolsó."" Pedig tudtam, hazudok. Mert elmenni nem tud az, aki szeret, csak újabb némaságot hordoz, mint el nem küldött levelet. Közeledtem volna... csak egy mozdulat, egy szó, egy tekintet. De a szívem visszariadt. És te? Talán te is csak vártál, mint én, szívedben zűrzavar és kétség. A kimondatlan szerelmek suttogva hullanak szét az idő redőin. Ismét azt mondom, ""Ez az utolsó."" Búcsúzni akarok!. De tudom, hogy maradni fogok - megint könnyekben, egy sóhajban, amit nem hall senki, csak a szél.",https://poet.hu/vers/393414
poz,Zagyi G. Ilona,Egy életre szól,"Meg kéne szokni, hogy nem mindig látod, hogy ritkább a perc, mikor karodba zárod. Bár kacaja még ott cseng a füledben, látni szeretnéd, ha nevet önfeledten. Ha bánata van, és csak a telefon sírja el, ölelnéd vigasztalón elfojtott könnyekkel. Aggódás nem pihen, gondolat kíséri, a gyermek felnőtt, saját életét éli. Érzed a fájdalmát, boldogsága éltet, egy életre szóló, hogy örökké félted. A képek el nem múlók, a pillanatok élnek. A kiszakadt darabot őrzik az emlékek. Amíg a szív dobog, örökre a részed. Reggel áldást küldesz, este Isten békéjét kéred.",https://poet.hu/vers/393410
poz,Szabó László (szli),Drága Anikó!,"Csendes kis utcában rendes házikó, Itt szerelmünk a legfontosabb lakó. Nagyvilágban züllött, bűnös a dáridó, A mi udvarunkon énekel a fekete rigó. Élj 100 évig, csak azt kívánom neked, Amíg csak élek, legyen áldott a neved. Mai napon néked minden jót kívánok, Ahova csak nézel, ott nyíljanak virágok. Legyen forróság, vagy szakadjon a hó, Veled elbújni együtt mindig nagyon jó. Tudom, már hajam ritka, fehér és fakó, Úgy nézek már ki, mint egy öreg manó. De te megmaradtál fiatal és csillogó, Még mindig szép, mosolygó és izgató. Egy mosolygós démon, pajkos csábító. Nem engedlek el soha én, drága Anikó. Ha majd belepi emlékemet a fehér hó, Tőled hullámzik majd a szerelemfolyó. Ha megfeneklik majd ez a drága hajó, Akkor is szeretlek téged, drága Anikó!",https://poet.hu/vers/393409
poz,Ilyés Lőrinc,Õrangyal,"Csilingelő hangocska, Habzó barna haj, Lelkedben robbanó, hangos moraj. Elnyúló mosolyod, mi folyton követ, Szemedben néha fájdalom, öröm vagy rémület. Talpad alatt piszok, mi rád ragad, S láthatatlan szárnyak, mik mögé elrejted magad... Védtelen vagy... Védtelen vagy... Egykor elhittem magamnak, hogy bástya vagyok, Hogy nem kellenek nekem őrangyalok... Mégis itt vagy... de jól teszed... Mert ha nem leszel... Már én sem leszek...",https://poet.hu/vers/393404
poz,Szőke Klaudia,Nyári estén,"Egy hűvös nyári estén ülök csendben a teraszon. Ezernyi érzés gyötör, s némán felsóhajtok. Gondolat, mely elönt, amit soha nem éreztem. Nem tudom, jó-e vagy rossz, amit most érezhettem. Érzések - ide vagy oda - talán valósak lehetnek. Egy pillanat, mely elragad, s magával ránt a gondolat. S szebbé teszi a napomat ez a furcsa képzelet.",https://poet.hu/vers/393403
poz,Tóth Henriett (Jeffyta),Szeretném,"Úgy szeretném, ha szeretnének, Szeretnének teljes szívvel! Úgy szeretnének, hogy az jó legyen, Ne csak üres, Vagy fájó szavakat hagyjanak bennem. Úgy szeretném, ha szeretnének, Szeretnének teljes szívvel! Ahogy az nekem is igazán jó, Hogy tudjam, Rám figyelnek, s tényleg velem vannak. Úgy szeretném, ha szeretnének, Szeretnének teljes szívvel! Hogy ne kelljen könyörögnöm érte, Ne kelljen megmagyaráznom magam, Ne kelljen azt hinnem, kevés vagyok. Szeretnek? Talán... de biztosan nem úgy. Ezért csak várok, Folyton vágyom s remélek. Maradok, pedig nem kéne.",https://poet.hu/vers/393374
poz,Angyal Dorottya,Templom,"Templom az egy szent hely, Ahol Istennel lehetek. Bárki belép a templomba, Az csak boldog lehet. Valaki azért jár, hogy Istent dicsőítse, Valakivel azért jár, bevallja, hogy rosszat tett. Ha orgona szól, énekeltünk, Ha imádkozunk, akkor könyörgünk. Isten szeretete mindenhol ott van, Bárhol van az ember, akkor érzi, hogy vele van. Mindenki előtt nyitva áll a templom, Nem vagy egyedül, Isten csakis rád vár, Hogy szeresd őt.",https://poet.hu/vers/393330
poz,Antóni Orsolya,A Kezdet és a Vég,"Szemeidben csillagok táncolnak, Mosolyod napfényt hoz a legsötétebb napba. Minden lélegzetvételem érted dobban, Szerelmem hozzád végtelen, mint az óceán habja. Puha hajad selyme ujjaim közt, Érintésed bőrömön, mint villám, cikázik. Ajkad íze édesebb, mint méz, Ölelésedben a világ megszűnik, elvarázsolsz. Aranyos gesztusaid szívem olvasztják, Apró figyelmességeid lelkem simogatják. Együtt nevetünk, sírunk, álmodunk, Kéz a kézben járjuk az élet útját. Szeretlek, mint virág a napfényt, Mint folyó a tengert, hová örökké tart. Te vagy az otthonom, a biztos menedék, Veled teljes az életem, nincs, mi szétszakíthat. Suttogom neved a csillagoknak éjjel, Rólad álmodom, ha lehunyom szemem. Minden gondolatom körötted forog, Te vagy a Kezdet és a Vég, mindenem. Szívem minden dobbanása érted szól, Lelkem minden rezdülése téged keres. Szerelmünk olyan, mint egy örök dal, Mely sosem ér véget, mindig újraéled. Veled minden pillanat egy csoda, Minden érintés egy új felfedezés. Te vagy az én tökéletes másik felem, Veled teljes az életem, nincs több kérdés. Örökké tartó szerelem a miénk, Mely erősebb, mint az idő vasfoga. Veled akarok ébredni minden reggel, S álomba merülni minden éjszaka. Szeretlek, mint senkit mást e világon, Te vagy az én egyetlen, igaz szerelmem.",https://poet.hu/vers/393317
poz,Kis Árpád,Szavak és tettek,"Van igaz szeretet a szavakban? Elmesélni és kifejezni javakban. Vagy a tett, ami szebbé teszi A szeretet erejét az ember felé. De ha nincs megpróbálva a szeretet? Ki tudja, hogy igazi vagy feledett? Mindenki szeretne szerelembe esni, Mégis éhes végül szeretve lenni. Csak a szép szavak tudják leírni igazán? Vagy a halk őszinte tettek a szeretet útját. A szavak árnyékában szenved a szív, De a néma ember mégis képes szeretni. A szó, az elrepül könnyedén feledve, Tetteink maradnak a szívben temetve. Tízszer mondják azt, hogy szeretlek, Vagy tán egy igaz ölelés a keblemre? Szavakkal az Ördög is tud hitetni, De meghalni érted képes-e valaki?",https://poet.hu/vers/393288
poz,Piroschka Iréne Geng,Vonzásban,"Pihe-puha felhőágyból bágyadtan kel a sovány Hold, ezüstje hajamra hullik, fénye a lelkembe hatolt. Csillagmagasságig száll sóhajom, boldog a szív, gyönyörtől remeg, mint merengő Hold a földet, sóváran, úgy vonz engem esengő szemed. Benne vágy tüze, apró szikrák, mint tündöklő csillagok ragyognak, tekinteted bűvöl, karod ölel, míg a hajnal bíborfátyla szétszakad.",https://poet.hu/vers/394121
poz,B. Beáta,Ölelés!,"Csak egy ölelés. Csak egy kis érték. Valami különleges, Valódi érzés. Gyógyító megérzés. Melengető, szívből jövő. Sebeket elfedő. Igazán lelket melengető! Ritka kincs. Lehet több ebből?",https://poet.hu/vers/393949
poz,Piroschka Iréne Geng,Dalol a szív,"Előbukkant a Nap, felhő mögül kandikál, augusztusi reggel a jókedv muzsikál. Lélekhúron játszik, érzed a rezgését? Dalol a szívöröm, hallod az énekét? Csendből fakadt vágyak ma beteljesülhetnek, boldogságfonallal összekötöm őket. El ne szökjön egy sem, mint ifjúkori álmom, tagadhatnám, mindegy, de én visszavárom. Ilyenek az álmok, néha cserbenhagynak, nyújtózik a kedvem, fények simogatnak. Szépnek látok mindent, ahogy teremtette Isten, szám mond hálaimát, s meghajol a szívem. Dicsérem a napot, ujjong szívem, vidám, ajándék az élet, mosollyal köszönöm, hogy megálmodott Anyám.",https://poet.hu/vers/393862
poz,Bereczky Betti,"Tudod, mit érzek?","Amikor megölelsz, megszűnik a világ körülöttem, beleolvadok lelked minden egyes bugyrába, eltűnnek gondolataim és felébred minden érzékszervem, amelyet te kontrollálsz. Amikor kezed bőrömhöz ér, langyos, csiklandozó szellő kalandozik rajtam s keresztül, vágyakozó izgalom suhan át minden titkos hajlatomon, örülve, hogy végre velem vagy, s nekem teremtettél. Amikor megcsókolsz, ajkad puha lágyságát magamba szívhatom, s elhagy gyengéden erőm is, amelyet testem követ szabadon. Amikor egybeolvadunk, kapaszkodva, el nem engedve múló perceket, bepótolni próbáljuk az elveszett évtizedeket. Heves vihart hordoz testünk, mégis oly gyöngéd és kecses, mámoros illatok édes érzése fonja össze a képzeletet. S amikor újra láthatlak, elmém teremti vágyait, remélve, hogy nem hagysz magamra, és újra megállíthatjuk együtt az időt.",https://poet.hu/vers/393836
poz,László Klára,Bûnös vágyak,"Mikor elszaporodtak a finom érintések, dajkálva szerettél, mint egy gyermeket. Maga voltál a megtestesült gyengédség, a vágyódást mélyen átszőtte a szelídség. Az akarat eldöntötte a jövőt, sorsunkat, és rácsodálkozott a világra a tudat. Oly nagy lánggal égett a forró vágy, az a tűz, melyben öleltük egymást. Vágylángok nyaldosták tudatom, te magad is forró tűzzé lettél. Létünk partot ostromló hullámok, a vágy hajtott minket egymás felé. A levegő felforrósodott, szinte égtem, lelkünkben izzó fények gyúltak... Könnyű lettem, szinte lebegtem, és búcsút intettem a múltnak...",https://poet.hu/vers/393737
poz,Rankasz Brigitta,Játékos dal,"Gyere, csináljunk végre rosszat, mit sosem tettünk meg, ne mi legyünk mindig a jobbak, tegyünk úgy, mint a szívből, félelem nélkül élő gyermekek. Gyere, menjünk el világgá ketten! Sétáljunk messze oda, hol a szív nem retten. Legyünk bátrak, s mutassuk meg a világnak, hogy jó élni, nevetni, s ami illetlen a szemében, az nem ízetlen ezen az Élet nevű koncerten. Gyere hát, menjünk világgá ketten! S majd, ha visszaérkezünk, újra fiatalok leszünk. Fejünkben, lelkünkben, vidáman rezegjen, szeretve nevessen, melengetve öleljen az összes emlék, mit visszahozunk az útról. Gyere hát, menjünk világgá ketten!",https://poet.hu/vers/393658
OFF,Majszterics Vanessza.,Mit egykor éreztem,Düh harag s fájdalom Fáj hogy néha megbántom Látta a legrosszabb oldalam S látom rajta hogy ő nem bizonytalan Ő nem hagy el mert néha rossz vagyok Velem van mert tudja ezek is szebb napok Szíve az enyémmel fonódik össze Majd mosolya az égig ered Szívem lelkem övé csak legyen velem Ő éltet mert ő az én mindenem Ő az én nappalom a kedvem Ő az estém és a lelkem Szívem érte dobban minden nap 100-at Érted tűzön mennék s törnék minden gátat A menedékem vagy mely nagy támasz Mert tudom te sose fordítasz nekem hátat Az enyém vagy és én a tiéd vagyok Ezért olyan színesek a napok Te vagy a kedvesem az én boldogságom Nálad jobban senki sem ragyogja be a világom Te vagy a mosolyom az én szemem fénye Te vagy a biztonságom ebben a zavaros szélben,https://poet.hu/vers/393587
poz,Ebergényi Anita,Egy év,"Kék szemeidben elvesztem, a csókjaid bizsergetik testemet. Karjaid közt végem, belefulladok az ölelésedbe. Levegőt venni sem tudok a közeledben, mert te vagy maga az élet. Mélyen belül érzem, te vagy nekem a minden. Olyan jó veled, hogy ez már hihetetlen. Együtt lassan egy éve, a boldogság teljességébe beleveszve.",https://poet.hu/vers/393441
poz,Budai Gabriella Ágnes,De szeretnék...,"De szeretnék boldog lenni, minden rosszat elfeledni, végre olyan nőnek lenni, kit csak jól lehet szeretni! Hogy ha én ezt megtalálnám, szép életem mutogatnám, dicsekednék fűnek-fának, mily jó dolga van e lánynak. **** Kezdtem hitem elveszteni, életembe` nem lesz senki, ki igazán megszeretne, s tőlem soha el nem menne. **** Végül hitem visszakaptam, jött és győzött, mert akartam, nem szeretett így még senki, el sem akar tőlem menni.",https://poet.hu/vers/393391
poz,Gyöngyösi Lászlóné,Táncol a világ,"A minap találkoztam egy boldog párral. Csókot váltottak a nyárral, az a pár volt, aki velem egy úton haladt... Arcukra rózsát festett egy boldog pillanat. Szemükben boldogság ült, édes álmodás... Közöttük kigyúlt a fény is, apró villanás, Az a villanás, amely az égieknél nagy szerelmet sejt... Az, amely örömében boldog táncot lejt! Köröttük minden táncot jár... A nap, az eső, a szél is, táncol a világ! Köztük elvarázsolva táncolok... Táncot lejtek én is!",https://poet.hu/vers/393385
poz,Piroschka Iréne Geng,Pipacs-szerelem,"Búzatábla ma a lelkem, hullámzik, ha neved hallom, piros pipacs vagy te benne, szerelmesen égsz a vágytól.",https://poet.hu/vers/393332
poz,Tombor János,Kicsi lány...,"Reggel, amikor felkel a nap, szemeid még csukva, az álom illan gyorsan, de a szíved már nyitva Édes, kicsi lány... Nyújtózol, kezdődik a hét... Itt fekszem az ágyamon és fázom. Rajtad kívül senkire sem vágyom. Őrjítő illatod átjárja testemet, Szerelmes szívedért eladnám lelkemet. Álom ez? Vagy valóság? Kérdezem magamtól, hogy tudtál így hatni rám..., ami így elvarázsol.",https://poet.hu/vers/393251
poz,Halászné Magyar Márta,Ifjan lobogott lángunk,"Valahogy mindig szebbet, jobbat vártunk, rózsaszín fátyol vonta be szemünk, szívünkben ifjan lobogott lángunk, gondoltuk, öregként majd pihenünk. Azt hittük, a világról mindent tudunk, pedig a soknál is több a minden, kanyargott erre-arra az utunk, kíváncsiság kukucskált szíveinkben. Valahogy mindig jobbat vár az ember, keresi a boldogságot vadul, ölel mámorosan, szerelemmel, halk sóhaja selymesen csókra hull. Tudhatnánk, hogy mi marad majd nekünk: néhány perc, mikor örömmel ölelünk.",https://poet.hu/vers/393163
