tipus,szerzo,cim,vers,link
poz,Gyuriczné Gy. Mária,Szülőhelyem... Zalai-dombság,"""Itt születtem én ezen a tájon"", lankás-völgyes Zalai-dombságon. El nem cserélném e szép vidéket - nekem felér Dáriusz kincsével. Megterem minden termőföldjein, gazdag és dús mezőin, erdein. Mi szem-szájnak ingere - látható, megteremtette a Mindenható. Települést övezi szőlőhegy, ifjú s idős jár oda örömmel; dolgozni őseik örökségét, s pihenni - várva az örök békét. Mura határfolyónk sebes vize horgászni csábító - tele kinccsel. Autópálya s földek mellette... Budapestig eljutsz rajt` sebesen. Hegyekbe vágysz? - Közel Ausztria. Ha a tengerhez? - Itt az Adria. Ám szülőhelyed mindig vár haza, épp ahogy egy szerető, jó anya... Tengerpartra csak nyaralni vágyom, szívem ide húz - ez a világom.",https://poet.hu/vers/392792
poz,Kazi Jázmin,Plátói,"Nem tudom, melyik pillanatban váltott a tekinteted - de mást mondott már. Nem volt benne játék. Csak kimondatlan vágy, amit a józan ész még visszatart. Már eldöntöttem, hogy kellesz nekem, hozzád simulnék libabőrösen, csendben. Képzeletben már a nyakadba bújtam, Minden porcikám vágyik rád - füledbe súgtam. És az a csók... csak úgy megtörtént. Mint mikor két világ hirtelen összeér. Aztán visszahőköltünk - már későn, s azóta várom, hogy szemembe nézz igézőn. Nem kérek tőled semmit, csak maradj úgy, ahogy vagy - nekem ez elég. De fáj, hogy nem lehet szabad az, ami nekünk szárnyat adhatna... Nem vagy enyém, nem is lehetnél, pedig reggelente karomban kelhetnél. Gyötör, hogy ott vagy - túl közel, mégis elérhetetlen maradsz nekem. Csak nézlek, mikor nem veszed észre. Figyelem, ahogy lélegzel. Egyszer úgyis egymáséi leszünk, s szerelmesen ölelkezünk. Csak engedd el magad, ha már meghódítottál, szereteteddel meggyógyítottál. A bennem megindított vágyakat kipróbálhatod az ágyadban.",https://poet.hu/vers/392770
poz,Dávid Benedek,"Szívem mélyén seb az, mi fáj","Hónapok teltek el, S mesébe megfelel. Szívemben, mintha kés, Tudom jól, mit teszel. Szemedbe nézve látom, Rejtve takarod tetted. De átlátok ezen, te tettes! Mint hentes, úgy vágtál belém. Késve, de nem lekésve Váltam meg e tehertől. Szívem szabad, lehet sebes, De a késsel nem legyezek. Maradok inkább heges, Mintsem máson ejtsek sebet.",https://poet.hu/vers/392769
poz,Pongó Irén,Tavasz,"Megpillantom a fát, mely hullajtja gyönyörű leveleit. Oly csodás. Színes levelei szebbnél szebbek. Sárgák, pirosak, némelyikük bordó, mind-mind bámulatra méltó. Ahogy hullanak a szebbnél szebb levelek a fáról, én úgy szívom magamba a boldogságot.",https://poet.hu/vers/392754
poz,Ibolya Lakatosné Bungó,Ketten,"Miért vagyok inkább Optimista és vidám? Válasz erre a két kicsi Unokám! Boldogságom sok-sok Percét ti ketten adjátok, Életem szürke részét Beragyogjátok! Minden érintéssel, Mosollyal és nevetéssel A szívem simogatjátok! Derűt és fényt játsszatok, Mellyel együtt élni érdemes, Nyugdíjas életem Ettől lesz naponta Csodálatosan színes! Amit értetek teszek, Magamért is teszem, Hisz ilyen örömben Másképp nincsen részem! Megyek hát hozzátok Ölelni Titeket, Drága kis lényeteket A jó Isten áldja meg!",https://poet.hu/vers/392738
poz,Sájtli Márk,Magyar szív,"Hol rozsdás fények közt zörögnek, Hördülnek késő-őszi bús dallamok, S ősi, ismerős illata van a rögöknek, S mint sírunk jövendő kendője, Oly megértő lágyak a hajnalok, Ott érzi át az eget s földet a magyar szív, Boldogság, szomorúság s kegyelem, Valami ismerős ízzel kívül s belül vakít, Fönt alélt lelkek ismerős suttogása cseng, Törékeny talpam alatt sok hűlten érző csont orgonája búgva remeg, S hirtelen lábam a földbe gyökeret ver, S arcom az ismerős örök égbe veszik, Az ismerős lengő kalász velem együtt nyel, S a távolból a szívben tárogatót fújó dal Újra s újra megsegít, Magyar szív dobog ezen a földön, Mi nem díszes melldöngetésben fogant, Hanem útja magyar ősszellemhez visszanyúló köldök, Min keresztül a magyar szó s ihlet újra fogan, Nem érdekelnek az eljátszott magyarságok, Az ünnep erejéig felgyúlt elillanó lángok, A magyar szív alkot, s minden felelős percben a haza domborulatain keresztül dobban, S visszhangzik tettekben, s nemcsak szóban, Felemelni a nemzetet, művelve azt, hová az való, Ugyan mi mást tehetne a megszállott alkotó? Mint mindenkit meghívni egy emelkedett hazába, Hol mindenkinek szelleme van, s senki sem marad árva, A magyar szív mélyen s kitartón kalapál, S ha nemzete szellemét egy kicsit is magasabbra emeli, Már boldogan köszönt rá a dicső halál.",https://poet.hu/vers/392737
poz,Kosztyu János,Menedék,"Már nincs semmi más, Csak te vagy, aki vársz. Vihar után szivárvány, gyönyörű vagy, mint a márvány. Csendből szőtt szavaiddal Megnyugszik bennem a zaj. A világ csak háttérzaj, Te vagy a minden, te vagy a zaj. Minden egyes rossz hibám, de a te szíved mégis vidám. A szíved a menedékem, szeretni foglak, megígérem!",https://poet.hu/vers/392726
poz,Bíró Ágnes Tünde,Az ész és a szív,"Hallgasd, hogy dobog, Kebledben kopog, Mindig jót mond, Soha nem csalót. Sokszor a fejed, Mivel összevesz, Mert a fej mást kér, Ép érvet ígér. Ne hallgass másra, Csak a szív szavára, Mindig kitalálja, Mi a jó mára. Szegények mellett Elmenni nem mer, Mert mindenkinek Segíteni kell. A legjobb mégis, Ha a fej, a szív is Együtt talál ki Jó utat mindig. Bízz a szívedben, Bízz az eszedben, De döntésedben Mindkettőt használd fel.",https://poet.hu/vers/392705
poz,Zsana_new,Bálna,"Egy bálna gyomrában ragadtam... Mit ragadtam?! Ezt én magam akartam! Az első szavára ugrottam le a bálna gyomrába, ami szeretettel volt kipárnázva. Hittem én naivan! Mígnem zsigerein át zsigeri erővel hozta rám a frászt. Magmaként tört ki belőlem a félsz, hogy kibélelt belei közt a szeretet apránként felemészt. Kapálóztam, kiabáltam: ""Ez így mégse járja, hogy a barátját kihasználja."" Köpjön ki, én meg sem állok! Csak ne kelljen viszontlátnom. Gondolataim meg sem álltak: Vagy rágódhatna máson, de ebből valahogy ki kell másznom. Elindultam hát kifelé a légzőnyíláson. Ám egy fontos dologra nem tanított meg a biológia óra: Hogy egy bálna sokkal jobban bírja. Nem vett már levegőt, isten tudja, mióta. Ráébredtem utólag, a levegőt én jelentem neki. Én vagyok, ki a hatalmas szívét működteti, és az egyetlen, akivel túlélheti. Szökés közben, míg levegőre várok, tettemet gyorsan meg is bánom. És maradok, mint Roger Nyúl a pácban, itt lent, egy bálna gyomrában.",https://poet.hu/vers/392670
poz,Ibolya Lakatosné Bungó,Játék,"Micsoda csoda ez a kislabda, Pattan, játszik és cikázik, Micsoda csoda ez a kislabda! Gurul jobbra, szökken balra, Ebben van a nagy vonzalma, Ez a kislabda micsoda csoda! Gerjed, fénylik és világít, Csalogat és megvidámít, Micsoda csoda ez a kislabda! Izzik, pirul, sárgul, barnul, Minden kis gödörbe gurul, Ez a kislabda micsoda csoda! Marcika meg fut utána, Marcangolja, rúgja, vágja, Micsoda csoda ez a kislabda! Szeme csillog, reám ragyog, Ettől én is boldog vagyok, Ezért nagy csoda ez a kislabda!",https://poet.hu/vers/392580
poz,Cserhalmi Tamás Immánuel,Szeretetidény,"Ciklámenszín tintával kell Írnom most a sorokat, Karácsonyi hangulatban Keresem a szavakat... Szeretetet kell most nekünk Csöpögtetni kifelé; Adakozni kötelesség, Meg kell adnunk hitelét. Ki kell magunkból csikarni Minél jobbat, remeket - Ünnepünkön muszáj lesz, hogy Szülessen a szeretet. Muszáj viszont azzal együtt Üzenetem küldeni, Hogy muszájból lehetetlen Szívünk tüzét fűteni. Szűnjön meg így decemberben Mindenféle fegyelem - Lelkünk sóvár angyalának Adjon szárnyat kegyelem! Szabadon szárnyaljon hát Kapcsolatunk virága - Nyerjen végül bocsánatot Mindegyikünk hibája! Zárjuk most az esztendőnket Hálával és Reménnyel, Számot vessünk vágyainkkal: Hiúval és szerénnyel. Arra, hogy mit legjobb kérni, Létezik egy felelet: Lelkünk kopott szemüvegét Fényesítse szeretet! Pontosítom kérésemet, Úgy érzem, hogy muszáj most - Megéltem pár karácsonyt már: Éberet és mélyálmost. Legyen inkább szép karácsony Mindegyik nap az évben - Szezonális szeretetből Elég volt, köszi szépen!",https://poet.hu/vers/392494
poz,Kustra Ferenc József,A Balaton nyugati partján,"Előzmény: Balatoni sétány - Innen minden látszik... (3 soros-zárttükrös csokor) Ücsörgünk a kis padon Balcsi siófoki partján, Semmi hangok nem jönnek nagy rohanvást szelek szárnyán... Ücsörgünk a kis padon Balcsi siófoki partján. (leoninus csokor) Ülünk a csendben, tó tükröt tart éppen, lelkünk csitul, hol nyugalom van a létben. * A Nap elteszi a sok fényt, készül elaludni... Így aztán nekünk is haza kell aludni menni? A Nap elteszi a sok fényt, készül elaludni... Nap fénye lehull, megy aludni, mi is indulunk haza, s talán ma korán bújni. * Badacsony fölött az azúr besötétedik, Az éj sötétje teljesen ránehezedik... Badacsony fölött az azúr besötétedik. Leheletnyi sötét az est Badacsony felett, rátelepszik, mint súlyos igézet. * Szinte letaglóz minket a szép est és nyugalom, Már badacsonyi szőlőskerteket nem is látom... Szinte letaglóz minket a szép est és nyugalom. Reánk száll a nyugalom sötétje, már elpihen a hegy oldalán szőlőskertje. * Szél sem teszi habzóvá szépséges, tükörsima vizet, Így tudjuk élvezni ezen meseszép víz-élvezetet... Szél sem teszi habzóvá szépséges, tükörsima vizet. Szél sem mozdul, selymes a víz habja, tükörként ring a tó, béke lakik abban. * Így estfelé a hőség már különösen nem támadt, De még nem enged a melegből, hő még tán` már fáradt... Így estfelé a hőség már különösen nem támadt. Est jön, s a hőség már nem űz, nem támad, még tart a meleg, de lángja lohad, fárad. * A csend, a nyugalom ma este már nekünk itt marad, A szépség, sötétedő napvég ma a mienk marad... A csend, a nyugalom ma este már nekünk itt marad. A nyugalom ma este nekünk marad szépen, Nap búcsúzik, s fény pihen az éjben.",https://poet.hu/vers/392449
poz,Hajdu Zsanett,Álmodj még,"Egy halk fuvallat érinti meg arcod, messziről jött emlék nyitja ki a harcot. Benned él minden régi, szép varázs, múló idő, de örök a látomás. Ha elfárad szíved, ne félj a csendtől, egy könnycsepp mesél majd minden rendről. Álmodj még, míg ébred a hajnal, benned él minden múlt, minden hajnal. Egy szó, egy érintés, mit el nem vesz idő, tiszta szívek közt nincs semmi menedő. Őrizd meg azt, mi soha el nem száll, s míg dobban a szív, örökké megtalál.",https://poet.hu/vers/392408
poz,Rácz Lajos,Mire elég pár másodperc?,"Elhinteni a magot, Elmondani egy rövid mondatot, Egy mosollyal jobbá tenni a napot, Érintéssel mutatni, hogy Magadat adod.",https://poet.hu/vers/392369
poz,Nesszus,Előbb,"Előbb legyél otthon saját lelkedben, S csak azután engedj be mást a szívedbe, Míg sebeid nyílnak, ne adj mást kezedből, Előbb öleld magad a szíved legmélyéből! Szeresd magad, mielőtt adnál, Légy egész, mielőtt bárkit várnál! Nem menthetsz mást, míg sebed vérzik, Nem adhatsz fényt, míg belül sötétlik.",https://poet.hu/vers/392359
poz,Tömör Gábor,Angyalszív,"Gondosságod olyan élmény, árad, s jő a szeretet, benne van az igaz féltés, a gyengédség és figyelem. Mosolyod, ha rám vetődik, fénnyé válik a napom, nem kell szó, sem ígéret már, benned van az otthonom. Szemed tükrén béke lebben, mint vízparton esti fény, pillantásod mesél nekem, olvasom, mint költeményt. Hangod színe simogatás, megjavít, mi gyenge volt, minden szavad útmutatás, mindent bennem rendbe hoz. Te Angyal vagy: a gyógyító, szívedben az irgalom, melletted a holnap biztos, s eltűnik a fájdalom.",https://poet.hu/vers/392338
poz,Bencze Patricia,Egyetlen percedben,"Egyetlen percedben... Van úgy, hogy vársz egy jelre, S ha jól figyelsz, Elhozza a HOLD ereje. De ha átaluszod a pillanatot, Más holnap virrad rád. S összetörik a szíved, Mintha nem dobogna már. Kínzod magad, Fuldokolsz a könnyek tengerében, Feladtad a hited, S belehalsz a szeretetbe. Feladtad... Egyetlen percedben. Mégis valami benned Lassan újra éledni kezdett. A könnyek felszáradnak, A széthasított lélek Hamvaidból felfelé halad. A hajnali fény betölt, És erőt ad. A NAP fénye cserben sosem hagy. Valami talpra kényszerít: A hited. Újra itt van veled. Hallani kezded A szíved ritmusát... Újra dobban. Felnézel a júliusi égre ""5"" csillag ragyog most éppen. Köztük az egyik A te csillagképed. Látod, milyen szépek a csillagok az égen? És a víz tükrében? Mondd el, hogy kell szeretni: Mint főnix, újjáéled a szíved. S most már tudod, mit jelent... Egyetlen percedben Szeretni igaz szívvel. Szeretni... Hazatalálni... Sorsfordító teremtéssel...",https://poet.hu/vers/392334
poz,Lénárt Anna,Csak egy szó,"Mint megfagyott csillagok, úgy ragyognak a kristálycsillárok, levegőben pénz és hatalom illata, a világot halk zümmögéssel uralja, évezredek óta cipeli, a belső üresség lassan felőrli, az élet drágakőből szőtt szimfónia, egyetlen szó tépi darabokra, szétrobbantja az elfojtott csendet, egy hang megtöri a tökéletességet, a szív zárva marad... télbe dermedve, elveszett a remény a normális életre, mintha csak színházi jelenet játszódna, régóta üresen állt az üvegpalota, eltemetett, elfeledett érzés utat tör, szilánkokra tört a tükör, nem sír, nem könyörög, méltósággal küzd, egyre nehezebben viseli a bűzt, nem számíthat senkire, soha nem volt semmije, úgy lép be, mint a tomboló vihar, kezében egy pohár behűtött ital, a kilátás csupasz faágakra nyílik, a holnapban feltétlen bízik, a napfény játékosan színt rajzol, a mintákba életet karcol, tudja, ki kell mondania, most már nem szabad meghátrálnia, egy szó a titok nyitja, egy szó, ami maga a szikla, amin túl egy új nap kezdődik, amitől az ember megrészegedik, ami nem más, mint a ""szeretet"", amitől a kezekből kihullnak a fegyverek, amitől békében nőnek fel a gyermekek.",https://poet.hu/vers/392299
poz,Pócsi Bianka,Szívem alatt csillag alszik,"Szívem alatt csillag alszik csendben, Álmát ringatja a lelkemben. Még nem láttalak, de rég ismerlek, Minden dobbanásom érted rebeg. Mint harmat a fűszál reggeli fényben, Úgy növekszel bennem, szinte mesében. Láthatatlan szárnyad lelkemben verdes, S minden reményem egy néma vers lesz. Szemed tükrét még nem láttam soha, De érzem, benne ott lakik a csoda. Lépted nyoma még csak álom-rajz, De máris te vagy minden: múlt és tavasz. Nevetni fogsz majd, és én zokogok, Mikor először rám mosolyogsz. Szíved ritmusa zene lesz nekem, Örökké élő, tiszta szerelem. Kicsiny kezed majd az ujjamba zár, S én elhiszem újra: létezik már Valami szent, valami igaz, mély, Ami miatt érdemes élni még. Félek is, néha - túl szép e remény, De bízom benned, kis gyertyaláng-fény. Jöjj, kis virágom, hozz létet, csodát - Az én szívemből nő ki a világ.",https://poet.hu/vers/392256
poz,Hangyási Mihály,Portánc,"Mint aprócska porszemek Úgy kavargunk egymás körül. Nem kell szélvihar, hogy Eljárjuk ezt a táncot, Elég a leggyengébb sóhaj, Vagy a leggyengédebb érintés, Esetleg egy csók töredéke, Mely ajkainkon landol, és Te meg én így leszünk részei A világ örök körforgásának, A szerelem legelemibb pillanatának. Így leszünk részei egymásnak.",https://poet.hu/vers/391295
poz,Asztalos Ilona,Mezítláb a réten,"Felvillannak néha régi emlékképek - Ringó búzatáblák, vadvirágos rétek... S pöttyös kis szoknyában ott futkos egy kislány - Szeme ragyog, mint a legfényesebb csillám. Lenszőke hajában búzavirág kéklik, Önfeledt mosolya napsugárként fénylik. Papírrepülőt dob... pillangókat kerget, S közben ő maga is pillangóként repked... Én voltam az a kis pöttyös szoknyás kislány - Repültem... cikáztam, mint égen a villám. Mezítláb futkostam a bársonyos réten, S felszállt a felhőkig boldog nevetésem. Talpam csiklandozta a fűszálak csókja - Ez volt számomra a legvidámabb móka.",https://poet.hu/vers/391207
poz,Wágner Judit,Szabadságom napja,"Június tizenhét Szabadságom napja. Nem vagyok én többé Elveinek rabja. Nem esett jól, persze. Búcsút intett nekem. Már tudom, jobb nem is Történhetett velem. Szűk körből kirakott, A világ kitárult. Jöttem, mentem, jöttem. Életem kitágult. Barátokra lelek. Élményeket gyűjtök. Egy év eltelt. Ma már Idegennek tűntök. Június tizenhét. Nekem aranybetűs. Szabadságom napja Vidám, boldog, derűs.",https://poet.hu/vers/391158
poz,Ebergényi Anita,"Két nyár, két férfi","Szívem még mindig sajog, miattad darabokra hullott. Ha rád gondolok, mindig átjár a fájdalom. Kidobtál azon a nyáron, azt hittem, nem lehetek újra boldog. Közel engedtelek magamhoz, s te elárultad, mi köztünk volt. Nem tudom, mire volt ez jó, de határtalanná vált a szomorúságom. De a következő nyáron rám talált az új boldogságom. Értelmet nyert a mindenhol, s újra körülölel a bizalom. A remény lett a barátom, nincs már több titok. Csak benned bízom, átjutottál a falakon. Szíveddel eggyé válok, csak az öröm dallamát hallom.",https://poet.hu/vers/391149
